Time (s),Pack Current (A),Mode,Cell 1 Voltage (V),Cell 1 SoC (%),Cell 1 Balancing Active,Cell 2 Voltage (V),Cell 2 SoC (%),Cell 2 Balancing Active,Cell 3 Voltage (V),Cell 3 SoC (%),Cell 3 Balancing Active,Cell 4 Voltage (V),Cell 4 SoC (%),Cell 4 Balancing Active
82,1.5,CC,3.5586666666666673,16.36666666666674,0.0,3.5164455782312927,11.394557823129231,0.0,3.5968790849673202,21.339869281045747,0.0,3.5317768817204307,13.377688172043081,0.0
83,1.5,CC,3.558833333333334,16.38333333333341,0.0,3.5166156462585034,11.41156462585032,0.0,3.5969934640522876,21.356209150326794,0.0,3.531944892473119,13.394489247311899,0.0
84,1.5,CC,3.5590000000000006,16.400000000000077,0.0,3.5167857142857146,11.428571428571408,0.0,3.597107843137255,21.37254901960784,0.0,3.532112903225807,13.411290322580719,0.0
85,1.5,CC,3.5591666666666675,16.416666666666746,0.0,3.5169557823129254,11.445578231292496,0.0,3.5972222222222223,21.388888888888886,0.0,3.5322809139784956,13.428091397849537,0.0
86,1.5,CC,3.559333333333334,16.433333333333415,0.0,3.517125850340136,11.462585034013584,0.0,3.5973366013071892,21.40522875816993,0.0,3.5324489247311837,13.444892473118356,0.0
87,1.5,CC,3.5595000000000008,16.45000000000008,0.0,3.517295918367347,11.479591836734672,0.0,3.5974509803921566,21.421568627450977,0.0,3.5326169354838717,13.461693548387174,0.0
88,1.5,CC,3.559666666666667,16.46666666666675,0.0,3.517465986394558,11.49659863945576,0.0,3.597565359477124,21.43790849673202,0.0,3.53278494623656,13.478494623655992,0.0
89,1.5,CC,3.559833333333334,16.483333333333416,0.0,3.517636054421769,11.513605442176848,0.0,3.5976797385620913,21.45424836601307,0.0,3.532952956989248,13.495295698924812,0.0
90,1.5,CC,3.5600000000000005,16.500000000000085,0.0,3.5178061224489796,11.530612244897936,0.0,3.5977941176470587,21.470588235294112,0.0,3.533120967741936,13.51209677419363,0.0
91,1.5,CC,3.5601666666666674,16.51666666666675,0.0,3.5179761904761904,11.547619047619024,0.0,3.597908496732026,21.48692810457516,0.0,3.5332889784946246,13.528897849462448,0.0
92,1.5,CC,3.5603333333333342,16.53333333333342,0.0,3.5181462585034016,11.564625850340112,0.0,3.5980228758169934,21.503267973856204,0.0,3.5334569892473127,13.545698924731267,0.0
93,1.5,CC,3.5605000000000007,16.550000000000086,0.0,3.5183163265306123,11.5816326530612,0.0,3.598137254901961,21.51960784313725,0.0,3.533625000000001,13.562500000000085,0.0
94,1.5,CC,3.5606666666666675,16.566666666666755,0.0,3.518486394557823,11.598639455782289,0.0,3.598251633986928,21.535947712418295,0.0,3.533793010752689,13.579301075268905,0.0
95,1.5,CC,3.560833333333334,16.58333333333342,0.0,3.5186564625850343,11.615646258503377,0.0,3.5983660130718955,21.552287581699343,0.0,3.533961021505377,13.596102150537723,0.0
96,1.5,CC,3.561000000000001,16.60000000000009,0.0,3.518826530612245,11.632653061224465,0.0,3.598480392156863,21.568627450980387,0.0,3.5341290322580656,13.61290322580654,0.0
97,1.5,CC,3.5611666666666673,16.616666666666756,0.0,3.518996598639456,11.649659863945553,0.0,3.59859477124183,21.584967320261434,0.0,3.5342970430107536,13.62970430107536,0.0
98,1.5,CC,3.561333333333334,16.633333333333425,0.0,3.5191666666666666,11.666666666666641,0.0,3.598709150326797,21.601307189542478,0.0,3.5344650537634417,13.646505376344178,0.0
99,1.5,CC,3.561500000000001,16.65000000000009,0.0,3.5193367346938778,11.68367346938773,0.0,3.5988235294117645,21.617647058823525,0.0,3.53463306451613,13.663306451612996,0.0
100,1.5,CC,3.5616666666666674,16.66666666666676,0.0,3.5195068027210885,11.700680272108817,0.0,3.598937908496732,21.63398692810457,0.0,3.534801075268818,13.680107526881816,0.0
